Date,BAC,National,Diamond,Spencer,Pearce
5/5/2014,12.78,14.88677083,15.6346875,16.04270833,16.03587751
5/6/2014,12.816875,14.9440625,15.83239583,16.06802083,16.13316918
5/7/2014,11.96802083,14.2634375,15.77229167,15.98072917,15.60330807
5/8/2014,12.03302083,13.89739583,15.43708333,15.99364583,15.39122473
5/9/2014,12.05822917,13.75864583,15.5728125,15.98291667,15.39862057
5/10/2014,12.42479167,14.20145833,15.5575,16.10583333,15.66330807
5/11/2014,12.56677083,13.83833333,15.3421875,15.75458333,15.51782195
5/12/2014,12.12708333,13.5459375,14.82458333,15.33677083,15.10125945
5/13/2014,11.86822917,14.05572917,14.98666667,15.40041667,15.23893307
5/14/2014,11.6696875,14.08135417,15.3859375,15.6490625,15.31438446
5/15/2014,12.44885417,14.00270833,15.90364583,16.28760417,15.72046084
5/16/2014,12.97427083,14.06145833,16.06833333,16.578125,15.9700789
5/17/2014,13.15375,14.67958333,15.94145833,16.5559375,16.19365529
5/18/2014,13.6053125,15.14197917,16.40479167,16.6625,16.65275251
5/19/2014,13.48625,15.386875,16.66177083,17.04270833,16.78035668
5/20/2014,13.74135417,15.7209375,16.81125,17.2165625,17.02657196
5/21/2014,13.64260417,15.49916667,16.80697917,17.16177083,16.91830807
5/22/2014,13.5115625,15.56364583,17.02697917,17.3890625,16.9694539
5/23/2014,13.13541667,15.19302083,16.67895833,17.17302083,16.60452334
5/24/2014,12.81677083,14.82635417,16.24010417,16.73333333,16.22980112
5/25/2014,12.99145833,15.03677083,16.59958333,17.01635417,16.47799556
5/26/2014,13.58729167,15.36427083,17.01697917,17.47302083,16.92490529
5/27/2014,14.5146875,15.7475,17.65822917,18.02833333,17.57553029
5/28/2014,14.77427083,16.2928125,17.9309375,18.44395833,17.93473168
5/29/2014,14.3284375,16.79864583,18.19927083,18.630625,18.04417612
5/30/2014,13.81479167,16.8596875,18.48541667,18.87395833,17.98869001
5/31/2014,14.31989583,16.65791667,18.8928125,19.3546875,18.22559973
6/1/2014,14.45416667,16.33447917,18.71885417,19.33833333,18.10455807
6/2/2014,14.45489583,16.75052083,18.460625,19.1071875,18.15740529
6/3/2014,14.2815625,16.88125,18.41229167,18.8796875,18.12709279
6/4/2014,13.80604167,16.63510417,18.55416667,19.04833333,17.9338289
6/5/2014,13.6734375,16.0865625,18.296875,18.8146875,17.6210164
6/6/2014,13.7678125,15.9165625,18.0296875,18.66479167,17.50674557
6/7/2014,13.8275,15.94958333,17.76760417,18.26822917,17.45028723
6/8/2014,14.0184375,16.1053125,17.80395833,18.29197917,17.57796084
6/9/2014,14.23395833,16.25979167,18.0403125,18.49302083,17.7800789
6/10/2014,14.41177083,16.55625,18.28635417,18.82625,18.02018307
6/11/2014,14.50197917,16.72,18.52635417,18.9834375,18.18483585
6/12/2014,14.25395833,16.69020833,18.5434375,19.00458333,18.09792612
6/13/2014,14.483125,16.62947917,18.42916667,18.94552083,18.11598168
6/14/2014,14.31645833,16.41791667,18.24572917,18.68177083,17.92875946
6/15/2014,14.2425,16.47947917,17.96739583,18.51416667,17.83184973
6/16/2014,14.11208333,16.31625,17.8228125,18.18822917,17.68577334
6/17/2014,13.9990625,16.31395833,17.8821875,18.33072917,17.66712751
6/18/2014,14.15885417,16.20416667,18.01302083,18.42583333,17.72740529
6/19/2014,14.2675,16.10145833,17.9578125,18.4321875,17.71098168
6/20/2014,14.04135417,16.31447917,17.894375,18.39135417,17.68546085
6/21/2014,14.29385417,16.34770833,18.054375,18.47729167,17.83403723
6/22/2014,14.28802083,16.27385417,18.19375,18.67260417,17.85393307
6/23/2014,15.1821875,16.76083333,18.18229167,18.71114583,18.31049557
6/24/2014,15.27614583,16.88322917,18.61572917,18.9575,18.52709279
6/25/2014,15.17270833,17.5421875,18.8090625,19.3659375,18.77671084
6/26/2014,14.84072917,17.15760417,18.91552083,19.10541667,18.57334279
6/27/2014,14.73880435,16.80177083,18.65114583,19.1515625,18.33263174
6/28/2014,14.96229167,16.95479167,18.7971875,19.29822917,18.50681501
6/29/2014,15.31822917,17.26583333,18.9909375,19.4753125,18.79372473
6/30/2014,15.87875,17.5990625,19.37572917,19.81697917,19.21990529
