Date,BAC,National,Diamond,GPP_prediction
3/14/2018,5.483765211,0.690378447,1.878822492,0.636624694
3/15/2018,3.601769706,1.317605009,0.685332245,0
3/16/2018,40.12955168,0.978486759,1.579539554,12.18149531
3/17/2018,6.454555279,0.338231219,10.12938003,3.59302482
3/18/2018,5.04314675,0.695449269,1.909168569,0.501557507
3/19/2018,4.25132199,0.45593526,2.2524326,0.272199261
3/20/2018,5.397725669,2.768037507,2.047074676,1.356581928
3/21/2018,4.900522661,30.16640377,1.818789303,10.24754122
3/22/2018,3.982469294,0.529355983,0.816520099,0
3/23/2018,5.036528018,1.654877856,2.059431274,0.86924836
3/24/2018,5.69180381,0.484324813,1.380310587,0.471115714
3/25/2018,5.933515597,2.043282618,1.358753289,1.064153146
3/26/2018,3.766481813,1.649727691,20.12623232,6.466449919
3/27/2018,1.599448029,20.18155537,2.000042869,5.879318067
3/28/2018,2.240292825,0.906298331,2.999329877,0.000942989
3/29/2018,4.900022763,0.584859268,1.204287916,0.18202596
3/30/2018,5.928386964,0.777503765,1.24184822,0.601548961
3/31/2018,6.284158505,3.293545422,1.379700026,1.604770629
4/1/2018,5.599418378,1.793832717,1.765893055,1.005350694
4/2/2018,3.689746769,1.836165257,2.358828969,0.580549643
4/3/2018,5.204667076,3.352689526,2.474835529,1.629700021
4/4/2018,5.070899871,30.13909187,2.305198676,10.45736612
4/5/2018,4.783083255,3.087238725,1.773840315,1.167023409
4/6/2018,5.813717353,4.078939958,2.586784871,2.112116705
4/7/2018,5.38040124,3.67456708,2.93412214,1.948666131
4/8/2018,5.780522251,NA,2.865896609,2.218535672
4/9/2018,2.919098334,30.18857073,2.036055084,9.66687736
4/10/2018,4.437426158,3.387978665,1.737627969,1.139980242
4/11/2018,3.721835222,3.408867509,1.914950167,0.967520277
4/12/2018,3.006244285,1.776344921,1.563214558,0.067570566
4/13/2018,2.826108438,0.896239537,1.211478949,0
4/14/2018,3.425190207,1.99335718,1.238176976,0.171210765
4/15/2018,2.462509567,1.731513089,1.684362584,0
4/16/2018,1.936539094,3.759569034,1.908013033,0.487009698
4/17/2018,2.284059438,3.935662007,1.878866575,0.651831984
4/18/2018,20.16750902,NA,1.64573405,8.801947777
4/19/2018,14.59597519,3.418418116,1.3151424,4.395481213
4/20/2018,9.024441356,1.589788726,0.98455075,1.818562922
4/21/2018,3.452907524,3.3031481,2.310821571,0.974595043
4/22/2018,2.465688411,3.395216076,1.881244874,0.533019098
4/23/2018,3.047553181,3.659449802,2.96526846,1.176393125
4/24/2018,3.015763225,3.824990828,2.745546437,1.147736141
4/25/2018,50.12357419,4.564253296,1.914975207,16.81990354
4/26/2018,4.721901667,3.738970551,2.762304032,1.693361394
4/27/2018,4.37592971,2.797835958,2.565479606,1.198717736
